code,venue_count,categories,in_ap_continent,in_base_prices,in_airport_city,continent,city
NTL,2,"climbing,kite",NO,NO,NO,MISSING,MISSING
ORH,2,climbing,NO,NO,NO,MISSING,MISSING
DCA,2,climbing,NO,NO,NO,MISSING,MISSING
CKB,2,"climbing,fishing",NO,NO,NO,MISSING,MISSING
GSO,2,climbing,NO,NO,NO,MISSING,MISSING
ROA,2,climbing,NO,NO,NO,MISSING,MISSING
BRO,2,kite,NO,NO,NO,MISSING,MISSING
VIL,2,kite,NO,NO,NO,MISSING,MISSING
MHH,2,"fishing,kite",NO,NO,NO,MISSING,MISSING
HAM,2,kite,NO,NO,NO,MISSING,MISSING
ADB,2,kite,NO,NO,NO,MISSING,MISSING
GWT,2,kite,NO,NO,NO,MISSING,MISSING
BUD,2,"kayak,kite",NO,NO,NO,MISSING,MISSING
GRR,2,"fishing,kite",NO,NO,NO,MISSING,MISSING
JUL,2,"kayak,kite",NO,NO,NO,MISSING,MISSING
VIE,2,"fishing,kite",NO,NO,NO,MISSING,MISSING
ATL,2,"hiking,mtb",YES,YES,YES,na,Atlanta
EUG,2,"hiking,mtb",NO,NO,YES,MISSING,Eugene
PHX,2,"hiking,paraglide",YES,YES,YES,na,Phoenix
CMX,2,hiking,NO,NO,NO,MISSING,MISSING
PUS,2,"hiking,kayak",NO,NO,NO,MISSING,MISSING
LXA,2,"hiking,paraglide",NO,NO,NO,MISSING,MISSING
SHA,2,hiking,NO,NO,NO,MISSING,MISSING
SBZ,2,hiking,NO,NO,NO,MISSING,MISSING
UIO,2,"hiking,paraglide",NO,NO,YES,MISSING,Quito
TMR,2,hiking,NO,NO,NO,MISSING,MISSING
ZAG,2,"hiking,paraglide",NO,NO,NO,MISSING,MISSING
RKV,2,"hiking,kayak",NO,NO,NO,MISSING,MISSING
BHE,2,kayak,NO,NO,NO,MISSING,MISSING
SOG,2,kayak,NO,NO,NO,MISSING,MISSING
ARN,2,kayak,NO,NO,NO,MISSING,MISSING
BEB,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
KIR,2,"kayak,mtb",NO,NO,NO,MISSING,MISSING
IQT,2,kayak,NO,NO,NO,MISSING,MISSING
KLA,2,kayak,NO,NO,NO,MISSING,MISSING
YXY,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
UPG,2,"kayak,paraglide",NO,NO,NO,MISSING,MISSING
LET,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
ZST,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
CDV,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
SGU,2,"kayak,mtb",NO,NO,NO,MISSING,MISSING
ADQ,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
LPQ,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
VXE,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
PMC,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
CGB,2,"fishing,kayak",NO,NO,NO,MISSING,MISSING
XNA,2,mtb,NO,NO,NO,MISSING,MISSING
TAO,2,mtb,NO,NO,NO,MISSING,MISSING
ROT,2,mtb,NO,NO,NO,MISSING,MISSING
MDE,2,"mtb,paraglide",NO,NO,NO,MISSING,MISSING
BIL,2,"fishing,mtb",NO,NO,NO,MISSING,MISSING
YCG,2,mtb,NO,NO,NO,MISSING,MISSING
BOG,2,"mtb,paraglide",YES,NO,NO,latam,MISSING
BSL,2,"mtb,paraglide",NO,NO,NO,MISSING,MISSING
STN,2,"fishing,mtb",NO,NO,NO,MISSING,MISSING
AKN,2,fishing,NO,NO,NO,MISSING,MISSING
DLG,2,fishing,NO,NO,NO,MISSING,MISSING
MSY,2,fishing,NO,NO,NO,MISSING,MISSING
NQN,2,fishing,NO,NO,NO,MISSING,MISSING
GWY,2,fishing,NO,NO,NO,MISSING,MISSING
TUO,2,fishing,NO,NO,NO,MISSING,MISSING
GUM,2,"fishing,paraglide",NO,NO,NO,MISSING,MISSING
ULN,2,"fishing,paraglide",NO,NO,NO,MISSING,MISSING
TOS,2,"fishing,paraglide",NO,NO,NO,MISSING,MISSING
DHM,2,paraglide,NO,NO,NO,MISSING,MISSING
BGA,2,paraglide,NO,NO,NO,MISSING,MISSING
TIV,2,paraglide,NO,NO,NO,MISSING,MISSING
NAV,2,paraglide,NO,NO,NO,MISSING,MISSING
PNS,2,tanning,NO,NO,NO,MISSING,MISSING
RJM,2,tanning,NO,NO,NO,MISSING,MISSING
TAG,2,tanning,NO,NO,NO,MISSING,MISSING
RFP,2,tanning,NO,NO,NO,MISSING,MISSING
NEV,2,tanning,NO,NO,NO,MISSING,MISSING
VCL,2,tanning,NO,NO,NO,MISSING,MISSING
KLX,2,tanning,NO,NO,NO,MISSING,MISSING
GHB,2,tanning,NO,NO,NO,MISSING,MISSING
JOG,2,tanning,NO,NO,NO,MISSING,MISSING
MTJ,1,skiing,YES,NO,NO,na,MISSING
REC,1,surfing,YES,NO,YES,latam,Recife
VPS,1,tanning,YES,NO,NO,na,MISSING
LUA,1,hiking,YES,NO,NO,asia,MISSING
AMM,1,diving,YES,NO,NO,asia,MISSING
FDH,1,skiing,NO,NO,NO,MISSING,MISSING
KAO,1,skiing,NO,NO,NO,MISSING,MISSING
KTT,1,skiing,NO,NO,NO,MISSING,MISSING
BBU,1,skiing,NO,NO,NO,MISSING,MISSING
BTS,1,skiing,NO,NO,NO,MISSING,MISSING
KRK,1,skiing,NO,NO,NO,MISSING,MISSING
ERZ,1,skiing,NO,NO,NO,MISSING,MISSING
BTZ,1,skiing,NO,NO,NO,MISSING,MISSING
SXR,1,skiing,NO,NO,NO,MISSING,MISSING
DED,1,skiing,NO,NO,NO,MISSING,MISSING
IKA,1,skiing,NO,NO,NO,MISSING,MISSING
BEY,1,skiing,NO,NO,NO,MISSING,MISSING
